,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
51543,51543,-754078985.0,0.152347,0.045556,0.139582,0.316906,0.481266,0.051873,0.273643
51584,51584,-1246370448.0,0.153058,0.095447,0.074007,0.370859,0.566962,0.045088,0.132084
52098,52098,1050826473.0,0.158139,0.043144,0.149953,0.207789,0.395172,0.022842,0.305498
52255,52255,62446918.0,0.152594,0.062306,0.087977,0.144519,0.09467,0.018438,0.213276
52364,52364,-10467795.0,0.205521,0.220203,0.032607,0.202375,0.504898,0.035712,0.419432
52439,52439,-271471299.0,0.1478,0.054674,0.077645,0.436253,0.946102,0.031824,0.19725
53679,53679,-85789733.0,0.157359,0.126526,0.078878,0.236844,0.347964,0.046117,0.359762
53887,53887,-1922020485.0,0.19614,0.267518,0.019239,0.230466,0.090297,0.031403,0.219159
54081,54081,516415865.0,0.233126,0.130095,0.091306,0.13903,0.131912,0.056891,0.315355
54265,54265,615993691.0,0.273192,0.276807,0.021403,0.153348,0.261354,0.022372,0.210195
54500,54500,469605267.0,0.178008,0.115639,0.076606,0.19673,0.296041,0.055408,0.179587
55106,55106,1688255132.0,0.19961,0.231402,0.03301,0.23255,0.324883,0.050532,0.329389
55350,55350,930836920.0,0.23003,0.131178,0.061661,0.209839,0.091607,0.043726,0.340232
55415,55415,1539175087.0,0.201269,0.218548,0.024604,0.317491,0.585514,0.037382,0.247198
55715,55715,108291080.0,0.174147,0.136527,0.038921,0.229657,0.058792,0.026257,0.399049
55786,55786,1434673130.0,0.174102,0.076071,0.081626,0.343478,0.477379,0.056999,0.349087
55958,55958,-1432003045.0,0.156211,0.103523,0.061044,0.228552,0.250751,0.031069,0.447438
55980,55980,2023957844.0,0.182803,0.04957,0.132558,0.43612,0.693592,0.040489,0.124655
56305,56305,-1664228328.0,0.185036,0.082922,0.096389,0.128901,0.105084,0.038003,0.490294
57288,57288,2058630657.0,0.179781,0.045722,0.121489,0.367525,0.662472,0.036356,0.319793
57303,57303,1095450167.0,0.211712,0.26184,0.035947,0.177139,0.303263,0.055912,0.281235
57319,57319,-1361902232.0,0.164757,0.06098,0.148445,0.225393,0.21973,0.039496,0.394402
57444,57444,779998232.0,0.188265,0.100133,0.048148,0.239306,0.603011,0.019752,0.179059
57479,57479,301901132.0,0.169245,0.053852,0.085715,0.321442,0.728457,0.028971,0.421011
57669,57669,1209189734.0,0.17666,0.101045,0.063813,0.44157,0.930804,0.050575,0.274774
57701,57701,-638135497.0,0.196464,0.053533,0.103171,0.217063,0.354263,0.027261,0.38653
58358,58358,-325623847.0,0.203105,0.070513,0.089442,0.425344,0.687346,0.031604,0.109753
59011,59011,-1351750168.0,0.154471,0.062545,0.069964,0.243056,0.971318,0.021166,0.460568
59096,59096,993746006.0,0.229313,0.148735,0.062678,0.184837,0.437275,0.047755,0.227515
59248,59248,-224899526.0,0.155918,0.072742,0.065332,0.244948,0.36565,0.027641,0.305577
59446,59446,1695094344.0,0.192117,0.196066,0.039748,0.32644,0.620423,0.052308,0.231179
60747,60747,635352229.0,0.146125,0.047226,0.142277,0.286802,0.651037,0.046205,0.418889
60903,60903,-184988406.0,0.181578,0.055393,0.085983,0.247184,0.596234,0.029825,0.35645
60943,60943,-1185203059.0,0.148127,0.069042,0.070941,0.354941,0.568432,0.025384,0.12853
61374,61374,-1900316139.0,0.144635,0.06224,0.117521,0.247835,0.140194,0.045922,0.113478
61482,61482,-2012099662.0,0.177282,0.094396,0.056574,0.326097,0.717419,0.022888,0.342916
61518,61518,-300445419.0,0.178964,0.194093,0.024553,0.414489,0.907031,0.037313,0.258802
61520,61520,-252512396.0,0.196971,0.079096,0.098312,0.246034,0.254542,0.051156,0.296407
62294,62294,-1891806676.0,0.169466,0.118567,0.053287,0.295416,0.817156,0.024877,0.294442
62942,62942,15297062.0,0.198195,0.290683,0.019107,0.207851,0.80767,0.025249,0.439456
63123,63123,-1208037263.0,0.189903,0.112597,0.078051,0.333985,0.496123,0.058849,0.252452
63328,63328,1627895864.0,0.174303,0.077215,0.080227,0.20452,0.365936,0.031431,0.282733
63526,63526,-900923716.0,0.232565,0.145388,0.033976,0.379579,0.809918,0.026681,0.272316
63559,63559,-2092466235.0,0.151189,0.043482,0.11246,0.248724,0.714496,0.020933,0.123779
63704,63704,-1462896455.0,0.181108,0.173986,0.04053,0.311545,0.439854,0.04809,0.24939
64139,64139,-735182068.0,0.168383,0.245281,0.03538,0.300876,0.5047,0.0369,0.31438
64261,64261,-876618303.0,0.200691,0.200533,0.04759,0.262845,0.249424,0.059992,0.475117
64385,64385,904203692.0,0.255802,0.088464,0.092227,0.201681,0.421941,0.031213,0.135982
64934,64934,1882469672.0,0.160515,0.137779,0.05259,0.287876,0.664966,0.029328,0.243353
64993,64993,-564522661.0,0.155993,0.049488,0.130541,0.321375,0.595971,0.053932,0.381209
65043,65043,667374164.0,0.173736,0.049787,0.101228,0.344215,0.648256,0.045435,0.310117
